timestamp,"amd_smi:::temp_current_sensor=1:device=1","amd_smi:::temp_current_sensor=2:device=1","amd_smi:::temp_current_sensor=7:device=1","amd_smi:::gfx_activity:device=1","amd_smi:::umc_activity:device=1","amd_smi:::power_current:device=1","amd_smi:::power_average:device=1","amd_smi:::process_cu_occupancy_proc=0:device=1","amd_smi:::process_count:device=1"
0.003768,38,48,32,47,0,65535,39,0,1
0.106638,38,47,32,7,1,65535,40,0,1
0.209283,38,47,32,5,1,65535,41,0,1
0.312214,38,47,33,5,1,65535,43,0,1
0.415175,38,47,33,5,1,65535,44,0,1
0.518176,38,47,33,5,1,65535,45,0,1
0.621175,38,47,32,5,1,65535,46,0,1
0.724183,38,47,33,5,1,65535,47,0,1
0.827195,38,48,32,5,1,65535,48,0,1
0.930188,38,49,33,5,1,65535,49,0,1
1.033190,38,47,33,5,1,65535,50,0,1
1.136187,38,49,33,6,1,65535,51,0,1
1.238968,38,47,32,0,0,65535,50,0,1
1.342213,38,47,33,0,0,65535,49,0,1
1.445218,38,47,32,0,0,65535,48,0,1
1.547535,38,47,33,0,0,65535,48,0,1
1.650341,38,47,32,0,0,65535,47,0,1
1.753227,38,47,32,0,0,65535,47,0,1
1.855986,38,47,32,0,0,65535,46,0,1
1.959209,38,47,33,0,0,65535,46,0,1
2.062225,37,47,32,0,0,65535,45,0,1
2.165228,38,47,33,0,0,65535,45,0,1
2.267668,38,47,33,0,0,65535,44,0,1
2.370374,37,47,32,0,0,65535,44,0,1
2.473333,38,47,32,0,0,65535,44,0,1
2.576309,38,47,32,0,0,65535,43,0,1
2.679022,38,47,32,0,0,65535,43,0,1
2.781994,38,47,32,0,0,65535,43,0,1
2.884767,38,47,32,0,0,65535,42,0,1
2.987403,38,47,32,0,0,65535,42,0,1
3.090983,38,47,32,0,0,65535,42,0,1
3.193722,38,47,32,0,0,65535,42,0,1
3.296043,38,47,32,0,0,65535,42,0,1
3.398574,38,47,32,0,0,65535,41,0,1
3.501421,38,47,32,0,0,65535,41,0,1
3.604382,38,47,32,0,0,65535,41,0,1
3.706748,37,47,32,0,0,65535,41,0,1
3.809409,37,47,32,0,0,65535,41,0,1
3.912379,38,47,32,0,0,65535,41,0,1
4.015387,38,47,32,0,0,65535,40,0,1
4.118399,37,47,32,0,0,65535,40,0,1
4.221395,37,47,33,0,0,65535,40,0,1
4.323659,38,47,32,0,0,65535,40,0,1
4.426379,37,47,32,0,0,65535,40,0,1
4.529405,38,47,32,0,0,65535,40,0,1
4.632412,37,48,32,0,0,65535,40,0,1
4.735418,37,47,32,0,0,65535,40,0,1
4.838421,38,47,33,0,0,65535,40,0,1
4.940693,38,47,33,0,0,65535,40,0,1
5.043161,38,47,32,0,0,65535,40,0,1
5.146147,43,49,32,100,24,65535,49,13,1
5.248888,46,51,33,100,22,65535,65,13,1
5.351791,48,52,33,100,27,65535,79,13,1
5.454823,48,52,32,100,25,65535,93,13,1
5.557395,49,53,33,100,36,65535,106,13,1
5.659932,49,54,33,100,39,65535,118,13,1
5.762796,49,55,33,100,40,65535,129,13,1
5.865908,49,55,33,99,39,65535,140,13,1
5.968795,49,55,33,100,38,65535,150,13,1
6.071801,50,56,33,100,38,65535,159,13,1
6.174455,50,56,33,100,38,65535,168,13,1
6.276969,50,55,33,100,37,65535,176,13,1
6.379952,50,55,33,100,37,65535,183,13,1
6.482912,51,56,33,100,36,65535,190,13,1
6.585844,51,57,33,100,36,65535,197,13,1
6.688828,52,57,33,100,37,65535,204,13,1
6.791526,44,52,33,0,0,65535,199,0,1
6.894416,42,51,33,0,0,65535,189,0,1
6.997418,41,50,33,0,0,65535,179,0,1
