timestamp,"amd_smi:::temp_current_sensor=1:device=0","amd_smi:::temp_current_sensor=2:device=0","amd_smi:::temp_current_sensor=7:device=0","amd_smi:::gfx_activity:device=0","amd_smi:::umc_activity:device=0","amd_smi:::power_current:device=0","amd_smi:::process_cu_occupancy_proc=0:device=0"
0.003742,43,34,34,1,0,126,0
0.105910,43,34,34,0,1,145,0
0.208265,43,34,34,0,2,152,0
0.310904,43,34,34,0,2,149,0
0.412921,43,34,34,0,1,133,0
0.515271,43,34,34,0,0,127,0
0.617928,43,34,34,0,0,125,0
0.720288,43,34,34,0,0,124,0
0.822929,43,34,34,0,0,124,0
0.924944,43,34,34,0,0,124,0
1.027310,43,33,34,0,0,124,0
1.129947,43,33,34,0,0,124,0
1.231973,43,34,34,0,0,124,0
1.334317,43,33,34,0,0,124,0
1.436963,43,33,34,0,0,124,0
1.539325,43,33,34,0,0,124,0
1.641670,43,33,34,0,0,124,0
1.743981,43,33,34,0,0,124,0
1.846340,43,34,34,0,0,124,0
1.948983,43,33,34,0,0,124,0
2.051001,43,34,34,0,0,124,0
2.153350,43,33,34,0,0,124,0
2.255999,43,34,34,0,0,124,0
2.358011,43,34,34,0,0,124,0
2.460368,43,33,34,0,0,124,0
2.563025,43,33,34,0,0,124,0
2.665379,43,33,34,0,0,124,0
2.768018,43,34,34,0,0,124,0
2.870045,43,34,34,0,0,124,0
2.972397,43,34,34,0,0,124,0
3.075030,43,33,34,0,0,124,0
3.177050,43,34,34,0,0,124,0
3.279408,43,34,34,0,0,123,0
3.382046,43,34,34,0,0,123,0
3.484066,43,33,34,0,0,123,0
3.586424,43,33,34,0,0,124,0
3.689060,43,34,34,0,0,124,0
3.791087,43,33,34,0,0,123,0
3.893437,43,34,34,0,0,123,0
3.996075,43,34,34,0,0,123,0
4.098094,43,33,34,0,0,123,0
4.200451,43,34,34,0,0,123,0
4.303099,43,33,34,0,0,123,0
4.405103,43,33,34,0,0,123,0
4.507111,43,34,34,0,0,123,0
4.609124,43,33,34,0,0,123,0
4.711473,43,33,34,0,0,123,0
4.814110,43,34,34,0,0,124,0
4.916485,43,33,34,0,0,123,0
5.019151,43,33,34,14,1,182,228
5.121587,43,34,34,61,3,378,228
5.224168,43,35,34,86,4,482,228
5.326515,44,36,34,95,4,521,228
5.429167,45,36,34,98,4,536,228
5.531528,45,36,34,99,4,543,228
5.634187,46,37,34,100,4,546,228
5.736537,46,37,34,100,4,548,228
5.840601,47,37,34,90,4,507,228
5.943194,48,37,34,96,4,533,228
6.045557,48,38,34,99,4,545,228
6.148227,49,38,34,100,4,550,228
6.250566,49,38,34,100,4,551,228
6.353567,50,38,34,100,4,552,228
6.456216,50,38,34,100,4,553,228
6.558579,51,38,34,100,4,553,228
6.661221,51,38,34,100,4,554,228
6.763591,51,38,34,100,4,554,228
6.866247,52,38,34,95,4,529,228
6.968600,52,38,34,98,4,545,228
7.071234,52,39,34,99,4,551,228
7.173606,52,38,34,100,4,553,228
7.276247,53,39,34,100,4,554,228
7.378615,53,39,34,100,4,555,228
7.481263,53,39,34,100,4,555,228
7.583633,53,39,34,100,4,556,228
7.686264,53,39,34,100,4,556,228
7.789292,53,39,34,96,4,536,228
7.891645,54,39,34,99,4,549,228
7.994287,54,39,34,99,4,553,228
8.096663,54,39,34,100,4,555,228
8.199300,54,39,34,100,4,556,228
8.301667,54,39,34,100,4,557,228
8.404298,54,39,34,100,4,557,228
8.506670,54,39,34,100,4,557,228
8.609306,54,39,34,100,4,557,228
8.711733,54,39,34,93,4,524,228
8.814321,54,39,34,97,4,545,228
8.916699,54,39,34,99,4,552,228
9.019333,54,39,34,100,4,555,228
9.121705,54,39,34,100,4,556,228
9.224019,54,39,34,100,4,556,228
9.326346,55,39,34,100,4,556,228
9.428719,55,40,34,100,4,556,228
9.531355,55,40,34,100,4,557,228
9.634791,55,39,34,93,4,526,228
9.737366,55,39,34,98,4,546,228
9.839752,55,39,34,99,4,554,228
9.942376,55,39,34,100,4,556,228
10.044753,55,39,34,100,4,557,228
10.147393,55,40,34,100,4,557,228
10.249760,55,39,35,100,4,558,228
10.352398,55,40,35,100,4,558,228
10.454760,55,40,35,100,4,558,228
10.557421,55,39,35,91,4,515,228
10.659780,55,40,35,97,4,543,228
10.762408,55,40,35,99,4,553,228
10.864785,55,40,35,100,4,557,228
10.967424,55,40,35,100,4,558,225
11.069794,55,39,35,100,4,559,228
11.172425,55,40,35,100,4,559,228
11.274801,55,40,35,100,4,559,228
11.377458,55,40,35,100,4,559,228
11.479848,55,40,35,93,4,527,228
11.582453,55,40,35,98,4,547,228
11.684832,55,40,35,99,4,555,228
11.787463,55,40,35,100,4,558,228
11.889832,55,40,35,100,4,559,228
11.992479,55,40,35,100,4,559,228
12.094847,55,40,35,100,4,560,228
12.197487,55,40,35,100,4,560,228
12.299859,55,40,35,100,4,560,228
12.402504,55,40,36,87,4,504,228
12.504871,55,40,35,95,4,539,228
12.607499,55,40,35,98,4,553,228
12.709870,55,40,35,99,4,558,228
12.812510,55,40,35,100,4,560,228
12.914887,55,40,35,100,5,561,228
13.017532,55,40,35,100,5,561,228
13.119908,55,40,35,100,5,561,228
13.222539,55,40,35,100,5,561,228
13.330550,55,40,36,90,4,517,228
13.432909,55,40,35,96,4,544,225
13.535544,55,40,35,99,4,556,228
13.637561,55,40,35,100,5,559,228
13.739927,55,40,35,100,5,560,228
13.842561,55,40,35,100,5,561,228
13.944939,55,40,36,100,5,561,228
14.047944,55,40,36,100,5,561,228
14.150573,55,40,36,100,5,561,228
14.262852,55,40,36,100,5,557,0
14.365584,55,40,36,95,4,539,228
14.467965,55,40,36,98,5,553,228
14.570599,55,40,36,99,5,558,228
14.672968,55,40,36,100,5,560,228
14.775968,55,40,35,100,5,561,228
14.878613,55,40,36,100,5,562,228
14.980985,55,40,36,100,5,562,228
15.083631,55,40,36,100,5,562,225
15.193649,55,40,36,91,4,521,228
15.296005,55,40,36,97,4,546,228
15.398637,55,40,36,99,5,555,225
15.501005,55,40,36,100,5,559,228
15.603647,55,40,36,100,5,560,228
15.706032,55,40,36,100,5,561,228
15.808660,55,41,36,100,5,561,228
15.911021,55,41,36,100,5,561,228
16.013669,55,40,36,100,5,561,228
16.116323,55,40,36,100,5,562,0
16.218688,55,40,36,95,4,538,228
16.321050,55,41,36,98,5,553,228
16.423687,55,41,36,99,5,558,225
16.526052,55,41,36,100,5,560,228
16.628696,55,40,36,100,5,561,228
16.731067,55,41,36,100,5,561,228
16.833730,56,41,36,100,5,562,228
16.936087,56,41,36,100,5,562,228
17.038728,56,40,36,100,5,562,228
17.141746,55,40,36,96,4,541,222
17.244734,55,41,36,98,5,554,228
17.347098,55,40,36,99,5,559,228
17.449737,56,41,36,100,5,561,228
