timestamp,"amd_smi:::temp_current_sensor=1:device=0","amd_smi:::temp_current_sensor=2:device=0","amd_smi:::temp_current_sensor=7:device=0","amd_smi:::gfx_activity:device=0","amd_smi:::umc_activity:device=0","amd_smi:::power_average:device=0","amd_smi:::process_cu_occupancy_proc=0:device=0"
0.010096,42,47,46,38,0,84,0
0.116922,43,49,46,6,1,85,0
0.222968,43,49,46,6,1,87,0
0.329205,43,49,46,6,1,88,0
0.435675,43,48,46,6,1,89,0
0.541513,43,48,46,6,1,91,0
0.647191,43,48,46,8,1,92,0
0.752523,43,48,46,0,0,92,0
0.857768,43,48,46,0,0,91,0
0.963086,43,49,46,0,0,91,0
1.068325,43,49,46,0,0,91,0
1.173500,43,49,46,0,0,90,0
1.278598,43,49,46,0,0,90,0
1.383878,42,47,46,0,0,90,0
1.489137,43,48,46,0,0,89,0
1.594262,42,48,46,0,0,89,0
1.699578,43,49,46,0,0,89,0
1.804573,43,49,46,0,0,89,0
1.909787,43,48,46,0,0,89,0
2.014529,43,49,46,0,0,88,0
2.119452,43,48,46,0,0,88,0
2.224611,43,48,46,0,0,88,0
2.329758,42,48,46,0,0,88,0
2.434924,43,47,46,0,0,88,0
2.539869,43,47,46,0,0,88,0
2.644526,43,49,46,0,0,88,0
2.749431,43,49,46,0,0,87,0
2.854667,43,47,46,0,0,87,0
2.959809,43,48,46,0,0,87,0
3.064892,43,48,46,0,0,87,0
3.169740,42,47,46,0,0,87,0
3.274633,43,48,46,0,0,87,0
3.379747,43,49,46,0,0,87,0
3.484689,43,49,46,0,0,87,0
3.589574,43,48,46,0,0,87,0
3.694671,42,49,46,0,0,87,0
3.799826,43,48,46,0,0,87,0
3.904732,43,48,46,0,0,87,0
4.009351,43,49,46,0,0,87,0
4.114390,43,48,46,0,0,86,0
4.219396,43,49,46,0,0,86,0
4.324402,43,48,46,0,0,86,0
4.429823,43,48,46,0,0,86,0
4.534840,43,48,46,0,0,86,0
4.639987,42,49,46,0,0,86,0
4.744803,43,48,46,0,0,86,0
4.849680,42,47,46,0,0,86,0
4.954877,43,48,46,0,0,86,0
5.060148,47,51,46,100,50,92,0
5.165404,49,52,46,100,45,101,0
5.270615,50,53,46,100,37,111,0
5.375634,50,53,46,100,27,120,0
5.480725,50,53,46,100,25,127,0
5.585776,52,52,46,100,23,133,0
5.690637,52,53,46,100,19,139,0
5.795668,52,51,46,100,16,144,0
5.900903,52,51,46,100,15,149,0
6.005746,53,51,46,100,14,154,0
6.110739,53,51,46,100,17,158,0
6.215504,53,51,46,100,12,162,0
6.320667,53,51,46,100,13,165,0
6.425675,53,51,46,100,12,169,0
6.530671,53,51,46,100,13,172,0
6.635759,53,52,46,100,13,175,0
6.740556,54,51,46,100,13,177,0
6.845732,53,51,46,100,14,180,0
6.950714,54,52,46,100,13,182,0
7.055702,53,51,46,100,13,184,0
7.160595,54,52,46,100,19,187,0
7.265588,54,52,46,100,16,189,0
7.370693,54,52,46,100,15,191,0
7.475765,54,52,46,100,14,193,0
7.580789,54,52,46,100,12,194,0
7.685897,54,52,46,100,11,195,0
7.790853,54,52,46,100,9,197,0
7.895892,54,53,46,100,10,198,0
8.000867,54,52,46,100,9,199,0
8.105931,54,53,46,100,10,199,0
8.210885,54,52,46,100,16,200,0
8.315595,54,52,46,100,12,202,0
8.420868,54,52,46,100,11,202,0
8.525787,54,52,46,100,9,203,0
8.630908,55,52,46,100,9,204,0
8.735947,54,52,46,100,10,204,0
8.840672,54,52,46,100,9,205,0
8.945748,54,53,46,100,9,205,0
9.050740,54,52,46,100,9,206,0
9.155810,54,53,46,100,7,206,0
9.261102,55,52,46,100,19,207,0
9.366162,55,53,46,100,13,208,0
9.470945,55,52,46,100,10,208,0
9.575790,54,52,46,100,9,209,0
9.680851,54,52,46,100,8,209,0
9.785938,55,52,46,100,8,209,0
9.890633,55,52,46,100,9,209,0
9.995677,55,52,46,100,8,209,0
10.100823,54,52,46,100,8,209,0
10.205930,54,53,46,100,9,209,0
10.310956,55,54,46,100,14,210,0
10.415788,55,52,46,100,13,210,0
10.520829,55,52,46,100,11,211,0
10.625907,54,52,46,100,9,211,0
10.730923,54,52,46,100,8,211,0
10.836049,55,52,46,100,7,211,0
10.941105,55,52,46,100,8,211,0
11.045955,55,52,46,100,8,211,0
11.150842,55,52,46,100,8,211,0
11.255864,55,52,46,100,15,210,0
11.360730,55,53,46,100,15,211,0
11.465802,55,54,46,100,12,211,0
11.570843,55,52,46,100,10,212,0
11.675896,55,52,46,100,9,212,0
11.780975,55,52,46,100,9,212,0
11.886130,55,52,46,100,9,211,0
11.991194,54,52,46,100,8,211,0
12.096123,55,52,46,100,6,211,0
12.201015,55,52,46,100,7,211,0
12.306053,55,52,46,100,17,211,0
12.411071,55,53,46,100,13,212,0
12.515852,55,52,46,100,9,212,0
12.620959,54,52,46,100,9,212,0
12.725986,55,52,46,100,8,211,0
12.831006,55,52,46,100,8,211,0
12.935780,55,52,46,100,8,211,0
13.040359,54,52,46,100,8,211,0
13.145013,55,52,46,100,7,211,0
13.250035,55,52,46,100,8,211,0
13.355005,55,53,46,100,24,211,0
13.459809,55,53,46,100,18,212,0
13.564421,55,53,46,100,15,212,0
13.669086,55,53,46,100,15,213,0
13.774093,56,53,46,100,14,213,0
13.879142,55,53,46,100,12,214,0
13.984122,55,53,46,100,11,214,0
14.089018,55,54,46,100,9,214,0
14.194054,54,54,46,100,8,213,0
14.299025,55,53,46,100,6,213,0
14.404062,55,53,46,100,21,213,0
14.508939,55,53,46,100,20,214,0
14.613926,55,53,46,100,16,214,0
14.718919,55,53,46,100,11,214,0
14.823955,55,54,46,100,11,214,0
14.928768,56,54,46,100,11,214,0
15.033376,56,53,46,100,11,214,0
15.138347,55,53,46,100,10,214,0
15.243091,54,53,46,100,9,214,0
15.348117,54,52,46,100,8,214,0
15.453144,55,53,46,100,18,214,0
15.558281,56,53,46,100,21,215,0
15.663259,55,53,46,100,13,215,0
15.768114,56,53,46,100,12,215,0
15.873365,56,53,46,100,11,215,0
15.978177,56,53,46,100,11,215,0
16.083178,55,53,46,100,9,215,0
16.188055,56,53,46,100,10,215,0
16.293154,55,53,46,100,9,214,0
16.398220,55,54,46,100,8,214,0
16.503188,56,53,46,100,22,214,0
16.608300,56,54,46,100,23,215,0
16.713108,56,54,46,100,18,216,0
16.818159,55,54,46,100,14,216,0
16.923112,56,53,46,100,10,216,0
17.028165,56,53,46,100,9,216,0
17.133067,55,53,46,100,8,215,0
17.238141,55,53,46,100,8,215,0
17.343176,56,53,46,100,8,215,0
17.448260,56,52,46,100,8,214,0
17.553292,56,53,46,100,19,214,0
17.658393,56,55,46,100,17,215,0
17.763455,56,53,46,100,10,215,0
17.868333,56,53,46,100,10,215,0
17.973301,55,53,46,100,9,214,0
18.078309,56,54,46,100,9,214,0
18.183460,56,53,46,100,8,214,0
18.288519,56,53,46,100,8,214,0
18.393381,56,53,46,100,8,213,0
18.498336,55,52,46,100,8,213,0
18.603241,56,54,46,100,16,213,0
18.708345,54,55,46,100,11,214,0
18.813142,56,53,46,100,9,214,0
18.918192,56,53,46,100,11,214,0
19.023311,56,53,46,100,9,214,0
19.128262,55,53,46,100,9,213,0
