timestamp,"amd_smi:::temp_current_sensor=1:device=1","amd_smi:::temp_current_sensor=2:device=1","amd_smi:::temp_current_sensor=7:device=1","amd_smi:::gfx_activity:device=1","amd_smi:::umc_activity:device=1","amd_smi:::power_current:device=1","amd_smi:::power_average:device=1","amd_smi:::process_cu_occupancy_proc=0:device=1"
0.003263,44,53,35,28,0,65535,39,0
0.105575,43,53,35,4,1,65535,40,0
0.207641,44,53,35,4,1,65535,42,0
0.309659,44,53,35,4,1,65535,43,0
0.411682,44,53,35,4,1,65535,44,0
0.513523,44,53,35,4,1,65535,45,0
0.615980,44,53,35,4,1,65535,46,0
0.717986,44,53,35,4,1,65535,47,0
0.819994,44,53,35,4,1,65535,48,0
0.921992,44,53,35,4,1,65535,49,0
1.023991,45,53,35,4,1,65535,50,0
1.125993,45,53,35,4,1,65535,51,0
1.228280,44,53,35,4,1,65535,52,0
1.330251,45,53,35,4,1,65535,52,0
1.432583,45,53,35,4,1,65535,53,0
1.534642,44,54,35,4,1,65535,54,0
1.636659,44,53,35,4,1,65535,54,0
1.738680,45,53,35,4,1,65535,55,0
1.840472,45,53,35,4,1,65535,55,0
1.942315,44,53,35,4,1,65535,56,0
2.044650,45,53,35,4,1,65535,56,0
2.146671,44,54,35,4,1,65535,57,0
2.248681,45,53,35,5,1,65535,57,0
2.350681,44,53,35,5,1,65535,57,0
2.452689,44,53,35,0,0,65535,57,0
2.554494,44,53,35,0,0,65535,56,0
2.656656,44,53,35,0,0,65535,55,0
2.758698,44,53,35,0,0,65535,54,0
2.860721,44,53,35,0,0,65535,53,0
2.963071,44,53,35,0,0,65535,52,0
3.065767,44,53,35,0,0,65535,51,0
3.167747,44,53,35,0,0,65535,50,0
3.269557,44,53,35,0,0,65535,49,0
3.371645,44,53,35,0,0,65535,49,0
3.473695,44,53,35,0,0,65535,48,0
3.575719,44,53,35,0,0,65535,48,0
3.677731,44,53,35,0,0,65535,47,0
3.779737,44,53,34,0,0,65535,46,0
3.881581,44,53,35,0,0,65535,46,0
3.983664,44,53,35,0,0,65535,45,0
4.086119,44,53,35,0,0,65535,45,0
4.188601,44,52,35,0,0,65535,45,0
4.291119,44,53,34,0,0,65535,44,0
4.394324,44,53,35,0,0,65535,44,0
4.497126,44,52,35,0,0,65535,44,0
4.599586,44,53,35,0,0,65535,43,0
4.701681,44,53,34,0,0,65535,43,0
4.803723,44,53,35,0,0,65535,43,0
4.905754,44,52,35,0,0,65535,42,0
5.007648,44,53,35,0,0,65535,42,0
5.109786,46,53,34,99,19,65535,45,13
5.212187,51,55,34,100,22,65535,61,13
5.314655,53,56,35,100,24,65535,76,13
5.416750,54,57,35,100,24,65535,90,13
5.518786,55,57,35,100,23,65535,103,13
5.620689,56,57,35,100,25,65535,114,13
5.722526,56,57,35,100,23,65535,126,13
5.824482,56,57,35,99,27,65535,136,13
5.926723,56,58,35,100,26,65535,146,13
6.028758,56,58,35,100,26,65535,156,13
6.130856,56,58,35,100,28,65535,164,13
6.232805,57,58,35,100,27,65535,172,13
6.334907,56,58,35,100,28,65535,180,13
6.436699,57,59,35,100,27,65535,187,13
6.538651,56,58,35,93,24,65535,193,13
6.640741,58,60,35,100,29,65535,200,13
6.742792,58,59,35,100,29,65535,206,13
6.844888,58,60,35,100,30,65535,211,13
6.946831,58,60,35,100,30,65535,217,13
7.048751,58,61,35,100,33,65535,221,13
7.150585,58,60,35,100,33,65535,226,13
7.252703,58,60,35,100,34,65535,231,13
7.354833,58,61,35,100,34,65535,234,13
7.456812,58,61,35,100,34,65535,238,13
7.558901,59,62,35,100,33,65535,242,13
7.660754,59,62,35,100,34,65535,245,13
7.762711,59,62,35,99,35,65535,248,13
7.864790,59,61,35,100,34,65535,251,13
7.966823,59,61,35,100,33,65535,254,13
8.068774,60,62,35,100,33,65535,257,13
8.170830,59,62,35,100,34,65535,259,13
8.272740,60,62,35,100,34,65535,261,13
8.374575,60,62,35,100,33,65535,264,13
8.477321,60,62,35,20,7,65535,265,13
8.579739,60,62,35,100,36,65535,268,13
8.681791,60,62,35,100,35,65535,270,13
8.783913,60,62,35,100,38,65535,271,13
8.885860,60,63,35,100,37,65535,273,13
8.987798,60,63,35,99,39,65535,274,12
9.089626,60,63,35,100,39,65535,275,13
9.191728,60,64,35,100,40,65535,277,13
9.293881,61,64,36,100,42,65535,278,13
9.395676,60,64,36,100,41,65535,279,13
9.497836,60,64,36,100,40,65535,280,13
9.599852,61,64,35,100,39,65535,281,13
9.701777,60,64,36,99,39,65535,282,13
9.803826,61,64,36,100,41,65535,283,13
9.905835,61,64,36,100,42,65535,284,13
10.007974,61,64,36,100,40,65535,284,13
10.109902,61,64,35,100,40,65535,285,13
10.211956,61,65,36,100,40,65535,286,13
10.313745,61,64,36,100,41,65535,287,13
10.415775,62,65,36,100,41,65535,287,13
10.517919,61,64,36,100,45,65535,288,13
10.619889,61,65,36,100,46,65535,288,13
10.721946,61,67,36,100,56,65535,289,13
10.823922,61,67,36,100,56,65535,289,13
10.925828,61,66,36,99,56,65535,290,13
11.027821,61,68,36,100,55,65535,290,13
11.129819,61,67,36,100,56,65535,291,13
11.231930,61,68,36,100,54,65535,291,13
11.333885,61,67,36,100,51,65535,292,13
11.435950,61,67,36,100,54,65535,292,13
11.537737,62,67,36,100,54,65535,292,13
11.639879,61,67,36,74,37,65535,292,13
11.741843,61,68,36,100,75,65535,293,13
11.843811,55,64,36,0,0,65535,284,0
11.946101,53,62,36,0,0,65535,268,0
12.048077,53,61,36,0,0,65535,254,0
12.151486,52,60,36,0,0,65535,241,0
12.253747,52,60,35,0,0,65535,228,0
12.355750,52,61,36,0,0,65535,217,0
12.457681,52,59,36,0,0,65535,206,0
12.559678,52,60,36,0,0,65535,195,0
12.661822,52,59,35,0,0,65535,185,0
12.763837,52,60,35,0,0,65535,176,0
12.865684,52,59,35,0,0,65535,168,0
12.968124,52,59,35,0,0,65535,160,0
13.070789,51,59,35,0,0,65535,152,0
13.173185,52,59,35,0,0,65535,145,0
13.275086,52,58,35,0,0,65535,138,0
13.377118,52,58,35,0,0,65535,132,0
13.479728,52,58,35,0,0,65535,126,0
13.581792,52,58,35,0,0,65535,121,0
13.684163,51,58,35,0,0,65535,116,0
13.786846,51,59,35,0,0,65535,111,0
13.889197,51,58,35,0,0,65535,106,0
13.991804,51,58,35,0,0,65535,102,0
14.093736,51,59,35,0,0,65535,98,0
14.195739,51,58,35,0,0,65535,95,0
14.297739,51,59,35,0,0,65535,91,0
14.399796,51,59,35,0,0,65535,88,0
14.502174,51,58,35,0,0,65535,85,0
14.604711,51,58,35,0,0,65535,82,0
14.707169,51,58,35,0,0,65535,79,0
14.809804,51,59,35,0,0,65535,77,0
14.912156,51,58,35,0,0,65535,74,0
15.014874,51,58,35,0,0,65535,72,0
15.117448,51,59,35,0,0,65535,70,0
15.219867,51,57,35,0,0,65535,68,0
15.321776,50,57,35,0,0,65535,66,0
15.423802,50,57,35,0,0,65535,64,0
15.525795,50,57,35,0,0,65535,63,0
15.627787,50,57,35,0,0,65535,61,0
15.729806,50,57,35,0,0,65535,60,0
15.831799,50,57,35,0,0,65535,58,0
15.933798,50,57,35,0,0,65535,57,0
16.035815,50,58,35,0,0,65535,56,0
16.137816,50,57,35,0,0,65535,55,0
16.239863,50,57,35,0,0,65535,54,0
16.341829,50,58,35,0,0,65535,53,0
16.443825,50,57,35,0,0,65535,52,0
16.545842,50,57,35,0,0,65535,51,0
16.647836,50,57,35,0,0,65535,50,0
16.749837,50,57,35,0,0,65535,50,0
16.851865,55,59,35,100,24,65535,58,13
16.953936,59,60,35,100,22,65535,72,13
17.055868,60,61,35,100,24,65535,86,13
17.157886,61,61,35,100,25,65535,99,13
17.259872,62,61,35,100,22,65535,111,13
17.361997,61,63,35,100,38,65535,123,0
17.464519,61,64,35,100,33,65535,134,13
17.566983,62,63,35,100,29,65535,144,13
17.669048,62,64,36,100,33,65535,153,13
17.770915,62,64,35,100,32,65535,162,13
17.872918,62,64,35,99,32,65535,170,13
17.974915,63,63,36,100,32,65535,178,13
18.076909,63,65,36,100,36,65535,186,13
18.178930,63,65,36,100,37,65535,192,13
18.280911,63,64,36,100,35,65535,199,13
18.382957,62,65,36,100,43,65535,205,13
18.484917,63,65,36,100,42,65535,211,13
18.586939,62,65,36,82,31,65535,215,13
18.688930,63,66,36,100,41,65535,221,13
18.790933,63,65,36,100,41,65535,226,13
18.892994,63,66,36,100,43,65535,230,13
18.994944,63,67,36,100,44,65535,234,13
19.096994,63,67,36,99,43,65535,238,13
19.198960,63,67,36,100,44,65535,242,13
19.300959,63,67,36,100,43,65535,245,13
19.402978,64,67,36,100,43,65535,248,13
19.504956,64,67,36,100,43,65535,251,13
19.607027,64,67,36,100,43,65535,254,13
19.708991,64,67,36,100,44,65535,257,13
19.811051,63,67,36,99,47,65535,259,13
19.913701,64,67,36,100,45,65535,261,13
20.016030,64,68,36,100,45,65535,264,13
20.118775,64,68,36,100,46,65535,266,13
20.221029,64,68,36,100,46,65535,268,13
20.323551,65,68,36,100,46,65535,269,12
20.425431,65,69,36,100,50,65535,271,13
20.527994,64,70,36,30,24,65535,273,0
20.630000,64,69,36,100,47,65535,274,13
20.732003,65,69,36,100,48,65535,276,13
20.834046,65,69,36,100,47,65535,277,13
20.936743,65,69,36,100,49,65535,278,13
21.039079,65,69,36,99,48,65535,279,13
21.141511,65,69,36,100,49,65535,280,13
21.243823,65,69,36,100,48,65535,282,13
21.345821,65,70,36,100,47,65535,282,13
21.448170,65,70,36,100,48,65535,283,13
21.550823,66,70,36,100,48,65535,284,13
21.653070,66,70,36,100,45,65535,285,13
21.755841,66,70,36,99,49,65535,285,13
21.858144,66,70,36,100,45,65535,286,13
21.960786,66,70,36,100,45,65535,287,13
22.063371,66,70,36,100,48,65535,287,13
22.165822,67,70,36,100,48,65535,288,13
22.268079,66,70,36,100,50,65535,288,13
22.370128,66,70,36,100,48,65535,289,13
22.472136,66,71,36,100,50,65535,290,13
22.574175,66,71,36,100,52,65535,290,13
22.676126,66,72,36,100,52,65535,290,13
22.778236,66,72,36,100,55,65535,290,13
22.880186,67,72,36,100,53,65535,291,13
22.982879,67,71,36,99,53,65535,291,13
23.084883,67,72,37,100,56,65535,292,13
23.186870,67,72,36,100,53,65535,292,13
23.289152,67,72,36,100,49,65535,292,13
23.391162,67,72,37,100,59,65535,292,13
23.493211,67,72,37,100,58,65535,293,13
23.595162,66,73,37,100,73,65535,293,13
23.697177,63,70,37,0,0,65535,288,0
23.799583,59,66,36,0,0,65535,272,0
23.902173,59,65,36,0,0,65535,258,0
24.004577,59,64,36,0,0,65535,244,0
24.106847,57,65,36,0,0,65535,232,0
24.208876,58,64,36,0,0,65535,220,0
24.310881,58,64,36,0,0,65535,209,0
24.412887,58,64,36,0,0,65535,198,0
24.514887,58,64,36,0,0,65535,188,0
24.616894,58,64,36,0,0,65535,179,0
24.719187,57,64,36,0,0,65535,171,0
24.821590,57,63,36,0,0,65535,162,0
24.923895,57,63,36,0,0,65535,155,0
25.025907,56,64,36,0,0,65535,148,0
25.128636,57,63,36,0,0,65535,141,0
25.230553,56,63,36,0,0,65535,135,0
25.332901,56,63,36,0,0,65535,129,0
25.434924,57,63,36,0,0,65535,124,0
25.536927,56,63,36,0,0,65535,118,0
25.638930,56,63,36,0,0,65535,114,0
25.740935,57,63,36,0,0,65535,109,0
25.843636,56,63,36,0,0,65535,105,0
25.945477,56,62,36,0,0,65535,101,0
26.047941,55,62,36,0,0,65535,97,0
26.149945,56,62,36,0,0,65535,93,0
26.252253,56,62,36,0,0,65535,90,0
26.354202,55,62,36,0,0,65535,87,0
26.456711,55,62,36,0,0,65535,84,0
26.559236,55,62,36,0,0,65535,81,0
26.661628,56,62,36,0,0,65535,79,0
26.763721,55,62,36,0,0,65535,77,0
26.865564,55,62,36,0,0,65535,74,0
26.967737,55,62,36,0,0,65535,72,0
27.069751,55,62,36,0,0,65535,70,0
27.171960,55,62,36,0,0,65535,68,0
27.273990,55,62,36,0,0,65535,67,0
27.375991,54,61,36,0,0,65535,65,0
27.478001,55,61,36,0,0,65535,64,0
27.580298,55,61,36,0,0,65535,62,0
27.682644,55,62,36,0,0,65535,61,0
27.784723,54,61,36,0,0,65535,59,0
27.886777,54,61,35,0,0,65535,58,0
27.989275,55,61,36,0,0,65535,57,0
28.091647,54,61,36,0,0,65535,56,0
28.193710,54,61,36,0,0,65535,55,0
28.295548,54,61,36,0,0,65535,54,0
28.397401,54,61,36,0,0,65535,53,0
28.499718,54,61,36,0,0,65535,53,0
28.601765,54,61,36,0,0,65535,52,0
28.703674,57,61,35,99,23,65535,55,13
28.805526,62,63,36,100,23,65535,71,13
28.907409,64,64,36,100,24,65535,85,13
29.009407,65,64,36,100,24,65535,98,13
29.111372,65,64,36,100,24,65535,110,13
29.213385,65,64,36,100,26,65535,121,13
29.315368,66,65,36,100,25,65535,132,13
29.417346,66,66,36,100,28,65535,143,13
29.519414,66,66,36,100,30,65535,152,13
29.621353,66,65,36,100,28,65535,161,13
29.723409,66,66,36,100,30,65535,169,13
29.825359,66,66,36,100,28,65535,177,13
29.927759,66,66,36,99,29,65535,184,13
30.029601,67,67,36,100,31,65535,191,13
30.131730,67,66,36,100,28,65535,198,13
30.233690,67,67,36,100,30,65535,204,13
30.335546,67,67,36,100,30,65535,210,13
30.437786,67,67,36,100,30,65535,215,13
30.539796,67,68,36,100,30,65535,220,13
30.641913,66,67,36,85,26,65535,224,13
30.743721,68,67,36,100,30,65535,229,13
30.845779,68,67,36,100,30,65535,233,13
30.947906,68,68,36,100,32,65535,237,13
31.049864,68,68,36,100,33,65535,241,13
31.152192,67,67,36,100,34,65535,244,13
31.254688,68,69,36,100,34,65535,247,13
31.356770,68,68,36,100,35,65535,251,13
31.458743,68,69,36,100,36,65535,253,13
31.560647,68,69,36,100,37,65535,256,13
31.662648,68,68,36,100,39,65535,258,13
31.764510,68,69,36,100,38,65535,261,13
31.866489,67,68,36,99,40,65535,263,13
31.968445,68,70,36,100,37,65535,265,13
32.070965,68,69,36,100,39,65535,267,13
32.172839,68,69,36,100,40,65535,269,13
32.274690,69,69,36,100,41,65535,271,13
32.376632,68,70,36,100,43,65535,272,13
32.478498,68,71,36,100,41,65535,274,13
32.580493,69,71,36,86,40,65535,275,0
32.682507,69,71,36,100,44,65535,276,13
32.784468,69,70,36,100,46,65535,278,13
32.886486,68,71,36,100,45,65535,279,13
32.988518,69,71,36,100,45,65535,280,13
33.090544,69,71,36,99,46,65535,281,13
33.192810,69,71,36,100,42,65535,282,13
33.294638,69,71,36,100,43,65535,283,13
33.396849,69,71,36,100,44,65535,284,13
33.498855,69,72,36,100,43,65535,285,13
33.600936,70,71,36,100,44,65535,285,13
33.702884,69,71,36,100,43,65535,286,13
33.804941,69,71,36,97,45,65535,286,13
33.906749,69,71,36,100,43,65535,287,13
34.008813,69,71,36,100,44,65535,288,13
34.110933,70,71,36,100,43,65535,288,13
34.212932,70,71,36,100,43,65535,289,13
34.315000,70,72,37,100,44,65535,289,13
34.416930,70,72,36,100,44,65535,290,13
34.518726,70,73,37,100,45,65535,291,13
34.620683,70,73,36,100,46,65535,291,13
34.722782,70,72,37,100,43,65535,291,13
34.824903,70,73,37,100,51,65535,291,13
34.926888,70,74,37,100,50,65535,292,13
35.028965,70,73,37,99,52,65535,292,13
35.130807,71,73,37,100,46,65535,292,13
35.232701,70,73,37,100,53,65535,293,13
35.335039,70,75,37,100,72,65535,293,13
35.436924,63,70,37,0,0,65535,282,0
35.538865,61,68,37,0,0,65535,267,0
35.640846,61,67,36,0,0,65535,253,0
35.742643,61,67,36,0,0,65535,240,0
35.844572,61,66,36,0,0,65535,227,0
35.946718,60,66,36,0,0,65535,216,0
36.048751,61,66,36,0,0,65535,205,0
36.151098,60,66,36,0,0,65535,195,0
36.254031,60,66,36,0,0,65535,185,0
36.355816,60,65,36,0,0,65535,176,0
36.457808,60,65,36,0,0,65535,168,0
36.559663,60,65,36,0,0,65535,160,0
36.661971,60,65,36,0,0,65535,152,0
36.763879,60,65,36,0,0,65535,146,0
36.865849,60,65,36,0,0,65535,139,0
36.967823,59,65,36,0,0,65535,133,0
37.069626,59,65,36,0,0,65535,127,0
37.171620,59,65,36,0,0,65535,122,0
37.273731,59,64,36,0,0,65535,117,0
37.375758,58,64,36,0,0,65535,112,0
37.477787,59,64,36,0,0,65535,108,0
37.579794,59,64,36,0,0,65535,103,0
37.681796,58,64,36,0,0,65535,100,0
37.783653,59,64,36,0,0,65535,96,0
37.885743,58,64,36,0,0,65535,92,0
37.987668,58,64,36,0,0,65535,89,0
38.089760,58,64,36,0,0,65535,86,0
38.191786,58,64,36,0,0,65535,83,0
38.293668,58,64,36,0,0,65535,81,0
38.395669,58,64,36,0,0,65535,78,0
38.497767,58,64,36,0,0,65535,76,0
38.599783,58,64,36,0,0,65535,74,0
38.701684,57,64,36,0,0,65535,72,0
38.803766,58,64,36,0,0,65535,70,0
38.905679,58,64,36,0,0,65535,68,0
39.007775,58,64,36,0,0,65535,66,0
39.110107,57,64,36,0,0,65535,65,0
39.212209,58,64,36,0,0,65535,63,0
39.314914,57,64,36,0,0,65535,62,0
39.417203,57,63,36,0,0,65535,60,0
39.519731,57,63,36,0,0,65535,59,0
39.621782,57,63,36,0,0,65535,58,0
39.724107,57,63,36,0,0,65535,57,0
39.826486,57,63,36,0,0,65535,56,0
39.928490,57,63,36,0,0,65535,55,0
40.030782,57,63,36,0,0,65535,54,0
40.132804,57,63,36,0,0,65535,53,0
40.235126,56,63,36,0,0,65535,52,0
40.337700,56,63,36,0,0,65535,52,0
40.555866,57,63,36,5,1,65535,52,0
