timestamp,"amd_smi:::temp_current_sensor=1:device=0","amd_smi:::temp_current_sensor=2:device=0","amd_smi:::temp_current_sensor=7:device=0","amd_smi:::gfx_activity:device=0","amd_smi:::umc_activity:device=0","amd_smi:::power_current:device=0","amd_smi:::power_average:device=0","amd_smi:::process_cu_occupancy_proc=0:device=0"
0.002638,37,51,46,28,0,65535,86,0
0.105375,38,51,47,100,1,65535,88,0
0.207695,38,52,46,100,1,65535,89,0
0.310443,38,53,46,100,1,65535,90,0
0.413285,38,52,46,100,1,65535,91,0
0.516202,38,52,46,100,1,65535,92,0
0.618535,38,52,47,100,1,65535,93,0
0.721393,38,52,46,100,1,65535,94,0
0.823767,39,52,47,100,1,65535,95,0
0.926196,39,52,46,100,1,65535,96,0
1.029196,38,52,47,100,1,65535,96,0
1.131750,38,53,47,100,1,65535,97,0
1.234443,38,52,46,6,1,65535,98,0
1.336763,38,52,47,6,1,65535,98,0
1.439215,39,53,46,6,1,65535,99,0
1.541808,39,52,47,6,1,65535,99,0
1.644633,38,52,47,6,1,65535,100,0
1.747441,39,53,47,6,1,65535,100,0
1.849777,38,52,47,6,1,65535,101,0
1.952533,38,52,46,6,1,65535,101,0
2.055375,38,52,46,6,1,65535,102,0
2.157914,38,52,46,6,1,65535,102,0
2.260667,39,52,47,6,1,65535,102,0
2.362957,39,52,47,6,1,65535,103,0
2.465660,38,52,47,8,1,65535,103,0
2.568416,39,52,47,8,1,65535,103,0
2.671284,39,52,47,0,0,65535,103,0
2.773665,38,52,47,0,0,65535,102,0
2.876528,37,52,47,0,0,65535,101,0
2.978901,38,52,46,0,0,65535,101,0
3.081467,38,52,47,0,0,65535,100,0
3.184319,37,53,47,0,0,65535,99,0
3.286678,38,53,47,0,0,65535,99,0
3.389510,38,51,47,0,0,65535,98,0
3.491900,37,51,47,0,0,65535,98,0
3.594334,37,51,46,0,0,65535,97,0
3.697322,37,51,46,0,0,65535,97,0
3.799868,38,52,47,0,0,65535,96,0
3.902600,38,51,47,0,0,65535,96,0
4.004910,38,53,46,0,0,65535,95,0
4.107349,38,51,46,0,0,65535,95,0
4.209888,38,51,47,0,0,65535,95,0
4.312589,38,51,46,0,0,65535,94,0
4.415479,37,51,46,0,0,65535,94,0
4.517873,38,51,46,0,0,65535,94,0
4.620387,38,51,46,0,0,65535,93,0
4.723366,37,51,46,0,0,65535,93,0
4.825988,37,51,47,0,0,65535,93,0
4.928636,37,51,46,0,0,65535,93,0
5.030657,38,51,46,0,0,65535,92,0
5.132956,37,51,46,0,0,65535,92,0
5.235410,42,54,46,100,27,65535,100,0
5.337992,44,55,47,100,27,65535,113,0
5.440449,46,56,47,100,27,65535,124,0
5.542837,46,56,47,100,27,65535,135,0
5.645427,47,56,47,100,25,65535,146,0
5.747974,48,56,47,100,27,65535,156,0
5.850459,48,58,47,100,33,65535,165,0
5.953096,49,58,47,100,34,65535,174,0
