"timestamp","amd_smi:::temp_current_sensor=1:device=1","amd_smi:::temp_current_sensor=2:device=1","amd_smi:::temp_current_sensor=7:device=1","amd_smi:::gfx_activity:device=1","amd_smi:::umc_activity:device=1","amd_smi:::power_current:device=1","amd_smi:::power_average:device=1","amd_smi:::process_cu_occupancy_proc=0:device=1"
0.014184,39,33,40,0,0,106,65535,0
0.117256,39,33,40,0,0,106,65535,0
0.220257,40,33,40,0,0,95,65535,0
0.323237,39,33,40,0,0,77,65535,0
0.426227,39,33,40,0,0,71,65535,0
0.529241,39,33,40,0,0,69,65535,0
0.632245,39,33,40,0,0,94,65535,0
0.735220,39,33,40,0,0,104,65535,0
0.837735,39,33,40,0,0,81,65535,0
0.941275,39,33,40,0,0,72,65535,0
1.045289,39,32,40,0,0,69,65535,0
1.148270,39,33,40,0,0,68,65535,0
1.250763,39,32,40,0,0,68,65535,0
1.354262,39,32,40,0,0,68,65535,0
1.456761,39,32,40,0,0,68,65535,0
1.560278,39,33,40,0,0,68,65535,0
1.662764,39,32,40,0,0,68,65535,0
1.766283,39,32,40,0,0,68,65535,0
1.868763,39,33,40,0,0,68,65535,0
1.972293,39,33,40,0,0,68,65535,0
2.074788,39,32,40,0,0,68,65535,0
2.177781,39,32,40,0,0,68,65535,0
2.280774,39,32,40,0,0,68,65535,0
2.383778,39,32,40,0,0,68,65535,0
2.486783,39,32,40,0,0,68,65535,0
2.589784,39,32,40,0,0,67,65535,0
2.692794,39,32,40,0,0,68,65535,0
2.795799,39,32,40,0,0,68,65535,0
2.898825,39,32,40,0,0,68,65535,0
3.001802,39,32,40,0,0,68,65535,0
3.104817,39,32,40,0,0,68,65535,0
3.207828,39,32,40,0,0,68,65535,0
3.310835,39,32,40,0,0,68,65535,0
3.413825,39,32,40,0,0,68,65535,0
3.516830,39,32,40,0,0,68,65535,0
3.619828,39,32,40,0,0,67,65535,0
3.722903,39,32,40,0,0,67,65535,0
3.825853,39,32,40,0,0,67,65535,0
3.928827,39,32,40,0,0,76,65535,0
4.031856,39,32,40,0,0,93,65535,0
4.134855,39,32,40,0,0,76,65535,0
4.237866,39,32,40,0,0,71,65535,0
4.340866,39,32,40,0,0,69,65535,0
4.443861,39,32,40,0,0,68,65535,0
4.546873,39,32,40,0,0,68,65535,0
