t_sec,"amd_smi:::power_current:device=1"
0.000991,68
0.001596,68
0.002987,68
0.003598,68
0.004620,68
0.005599,68
0.007001,68
0.007596,68
0.008613,68
0.009597,68
0.010607,67
0.011597,67
0.012609,67
0.013597,67
0.014619,67
0.015597,67
0.016619,67
0.017608,67
0.018608,67
0.019597,67
0.020608,67
0.021597,67
0.022609,67
0.023598,67
0.024609,67
0.025598,67
0.026614,67
0.027604,67
0.028608,67
0.029598,67
0.030608,67
0.031598,67
0.032610,67
0.033599,67
0.034608,67
0.035598,67
0.036610,67
0.037602,67
0.038623,67
0.039598,67
0.040610,67
0.041600,67
0.042610,67
0.043600,67
0.044609,67
0.045600,67
0.046609,67
0.047601,67
0.048624,67
0.049615,67
0.050609,67
0.051599,67
0.052609,67
0.053599,67
0.054609,67
0.055599,67
0.056609,67
0.057599,67
0.058621,67
0.059611,67
0.060610,67
0.061599,67
0.062609,67
0.063600,67
0.064610,67
0.065600,67
0.066609,67
0.067600,67
0.068615,67
0.069605,67
0.070986,67
0.071600,67
0.072610,67
0.073600,67
0.074610,67
0.075601,67
0.076610,67
0.077602,67
0.078611,67
0.079602,67
0.080626,67
0.081602,67
0.082611,67
0.083601,67
0.084611,67
0.085602,67
0.086612,67
0.087601,67
0.088611,67
0.089601,67
0.090623,67
0.091614,67
0.092612,67
0.093601,67
0.094612,67
0.095601,67
0.096612,67
0.097601,67
0.098611,67
0.099603,67
0.100623,67
0.101609,67
0.102613,67
0.103602,67
0.104613,67
0.105602,67
0.106613,67
0.107602,67
0.108626,67
0.109604,67
0.110996,67
0.111607,67
0.112627,67
0.113602,67
0.114613,67
0.115602,67
0.116613,67
0.117602,67
0.118614,67
0.119603,67
0.120613,67
0.121605,67
0.122627,67
0.123602,67
0.124614,67
0.125602,67
0.126614,67
0.127603,67
0.128614,67
0.129603,67
0.130612,67
0.131602,67
0.132624,67
0.133614,67
0.134614,67
0.135603,67
0.136613,67
0.137603,67
0.138614,67
0.139603,67
0.140615,67
0.141603,67
0.142618,67
0.143610,67
0.144614,67
0.145604,67
0.146615,67
0.147604,67
0.148615,67
0.149604,67
0.150614,67
0.151604,67
0.152614,67
0.153606,67
0.154628,67
0.155605,67
0.156615,67
0.157605,67
0.158616,67
0.159605,67
0.160615,67
0.161606,67
0.162616,67
0.163605,67
0.164629,67
0.165618,67
0.166617,67
0.167605,67
0.168615,67
0.169605,67
0.170615,67
0.171605,67
0.172615,67
0.173606,67
0.174625,67
0.175612,67
0.176616,67
0.177605,67
0.178616,67
0.179605,67
0.180616,67
0.181605,67
0.182615,67
0.183605,67
0.184616,67
0.185609,67
0.186631,67
0.187606,67
0.188615,67
0.189607,67
0.190617,67
0.191606,67
0.192615,67
