t_sec,read_us,"amd_smi:::power_current:device=1"
0.001208,495.694,68
0.001595,372.943,68
0.003220,1162.818,68
0.003599,378.192,68
0.004594,540.094,68
0.005595,540.604,68
0.006646,592.504,68
0.007588,534.153,68
0.008645,591.674,68
0.009587,533.374,68
0.010635,581.764,68
0.011587,533.303,68
0.012644,590.774,68
0.013587,533.254,68
0.014640,586.794,68
0.015590,536.303,68
0.016645,591.454,68
0.017595,539.484,68
0.018642,586.664,68
0.019586,532.103,68
0.020637,581.544,68
0.021587,532.823,68
0.022640,586.444,68
0.023601,547.124,68
0.025208,1150.527,68
0.025596,387.433,68
0.026595,541.364,68
0.027599,545.454,68
0.028639,586.034,68
0.029589,534.963,68
0.030636,580.664,68
0.031587,532.864,68
0.032640,586.004,68
0.033587,533.353,68
0.034639,585.504,68
0.035589,535.874,68
0.036642,588.854,68
0.037589,534.874,68
0.038641,587.334,68
0.039600,545.933,68
0.040633,579.794,68
0.041600,546.154,68
0.042637,584.174,68
0.043588,532.214,68
0.044644,590.334,68
0.045589,535.484,68
0.046638,584.264,68
0.047589,535.853,68
0.048645,590.195,68
0.049588,533.914,68
0.050642,588.764,68
0.051598,544.703,68
0.052630,577.264,68
0.053589,534.824,68
0.054639,585.664,68
0.055591,537.284,68
0.056639,585.674,68
0.057593,538.544,68
0.058647,592.844,68
0.059591,536.814,68
0.060643,589.414,68
0.061591,537.823,68
0.062636,582.454,68
0.063590,536.834,68
0.064645,589.774,68
0.065592,537.963,68
0.067210,1156.238,68
0.067598,387.013,68
0.068595,541.374,68
0.069592,538.203,68
0.070644,590.414,68
0.071600,546.593,68
0.072635,582.014,68
0.073595,541.124,68
0.074646,592.964,68
0.075593,539.074,68
0.076648,593.494,68
0.077589,535.074,68
0.078639,586.024,68
0.079601,547.663,68
0.080646,593.234,68
0.081589,535.054,68
0.082593,537.583,68
0.083620,567.004,68
0.084605,552.064,68
0.085601,544.194,68
0.086652,598.344,68
0.087591,537.793,68
0.088648,592.714,68
0.089590,536.844,68
0.090652,598.104,68
0.091590,534.564,68
0.092635,581.994,68
0.093590,535.354,68
0.094644,588.404,68
0.095592,538.534,68
0.096643,589.514,68
0.097605,551.233,68
0.099212,1157.858,68
0.099599,386.103,68
0.100596,542.043,68
0.101601,548.163,68
0.102649,595.054,68
0.103591,537.214,68
0.104638,584.694,68
0.105591,537.894,68
0.106650,595.564,68
0.107591,537.224,68
0.108645,591.354,68
0.109592,537.624,68
0.110649,595.284,68
0.111590,536.964,68
0.112633,580.244,68
0.113591,537.524,68
0.114642,588.824,68
0.115605,551.434,68
0.116642,588.604,68
0.117590,536.984,68
0.118653,599.804,68
0.119604,550.493,68
0.120641,587.683,68
0.121604,550.524,68
0.122641,587.344,68
0.123603,548.934,68
0.124641,587.024,68
0.125593,539.414,68
0.126640,585.984,68
0.127603,549.224,68
0.128640,586.934,68
0.129605,551.034,68
0.130650,595.904,68
0.131591,537.514,68
0.132635,581.354,68
0.133602,548.123,68
0.134649,594.925,68
0.135603,549.764,68
0.136635,581.554,68
0.137595,540.723,68
0.138651,595.474,68
0.139606,552.004,68
0.141213,1159.208,68
0.141600,385.513,68
0.142601,547.043,68
0.143594,538.414,68
0.144646,592.194,68
0.145594,539.914,68
0.146644,590.414,68
0.147595,540.774,68
0.148637,583.414,68
0.149602,548.444,68
0.150651,597.184,68
0.151591,537.533,68
0.152634,581.194,68
0.153604,550.964,68
0.154641,588.044,68
0.155592,538.733,68
0.156634,580.413,68
0.157596,541.684,68
0.158642,587.584,68
0.159593,539.754,68
0.160648,593.954,68
0.161605,551.294,68
0.162643,589.154,68
0.163603,549.334,68
0.164638,584.474,68
0.165603,549.284,68
0.166641,587.294,68
0.167606,552.414,68
0.168636,582.974,68
0.169604,550.303,68
0.170641,587.204,68
0.171604,550.274,68
0.173215,1161.138,68
0.173604,388.623,68
0.174602,548.143,68
0.175602,548.764,68
0.176635,581.264,68
0.177604,550.764,68
0.178640,586.573,68
0.179605,551.144,68
0.180636,582.684,68
0.181604,550.634,68
0.182656,601.604,68
0.183607,551.834,68
0.184637,583.214,68
0.185636,582.164,68
0.186601,547.154,68
0.187685,631.034,68
0.188671,615.654,68
0.189598,543.184,68
0.190639,585.394,68
0.191596,542.364,68
0.192649,595.944,68
0.193593,539.974,68
0.194641,585.604,68
0.195596,542.514,68
0.196640,586.713,68
0.197604,550.344,68
0.198635,581.954,68
0.199596,542.354,68
0.200635,582.054,68
0.201605,551.174,68
0.202647,593.144,68
0.203596,542.294,68
0.204640,586.784,68
0.205606,552.063,68
0.206640,584.433,68
0.207598,544.464,68
0.208641,587.454,68
0.209605,551.784,68
0.210639,586.114,68
0.211598,543.944,68
0.212636,582.834,68
0.213603,549.884,68
0.215216,1162.747,68
0.215606,388.093,68
0.216600,546.004,68
0.217604,550.064,68
0.218636,582.264,68
0.219599,545.483,68
0.220637,582.864,68
0.221608,554.124,68
0.222633,579.594,68
0.223605,550.924,68
0.224653,599.904,68
0.225605,551.264,68
0.226636,582.964,68
0.227606,552.674,68
0.228636,582.844,68
0.229604,550.764,68
0.230641,587.234,68
0.231607,552.624,68
0.232638,584.724,68
0.233605,551.364,68
0.234649,595.734,68
0.235609,554.914,68
0.236640,586.224,68
0.237609,555.023,68
0.238645,589.924,68
0.239595,540.824,68
0.240640,586.664,68
0.241605,551.383,68
0.242646,592.724,68
0.243597,543.234,68
0.244642,588.604,68
0.245606,552.384,68
0.246639,585.734,68
0.247598,543.844,68
0.248643,589.264,68
0.249607,552.914,68
0.250639,585.554,68
0.251609,555.304,68
0.252638,584.814,68
0.253603,549.684,68
0.254637,583.674,68
0.255610,554.793,68
0.256655,601.264,68
0.257609,555.364,68
0.258646,590.464,68
0.259606,552.083,68
0.260638,584.164,68
0.261607,553.924,68
0.262644,590.484,68
0.263610,555.564,68
0.264636,581.863,68
0.265606,551.754,68
0.266651,597.484,68
0.267610,555.593,68
0.268638,584.354,68
0.269604,550.804,68
0.270636,582.034,68
0.271606,551.984,68
0.272639,585.384,68
0.273603,549.363,68
0.274650,597.044,68
0.275611,557.764,68
0.276650,596.064,68
0.277604,550.393,68
0.278643,589.084,68
0.279596,542.304,68
0.280641,587.374,68
0.281608,554.154,68
0.282644,590.713,68
0.283608,553.644,68
0.284643,587.284,68
0.285606,552.234,68
0.286643,589.924,68
0.287612,557.003,68
0.289221,1165.578,68
0.289638,415.383,68
0.290609,554.834,68
0.291608,553.913,68
0.292606,551.744,68
0.293600,543.924,68
0.294645,590.504,68
0.295608,553.874,68
0.297224,1152.447,68
0.297610,383.953,68
0.298609,553.904,68
0.299609,555.363,68
0.300644,589.465,68
0.301608,553.994,68
0.302643,589.154,68
0.303610,556.814,68
0.304644,590.094,68
0.305608,553.893,68
0.306646,592.834,68
0.307606,552.204,68
0.308648,594.214,68
0.309610,556.313,68
0.310641,587.444,68
0.311605,551.674,68
0.312647,592.584,68
0.313609,554.864,68
0.314644,590.584,68
0.315605,551.154,68
0.316652,598.574,68
0.317605,550.763,68
0.318645,591.695,68
0.319605,551.044,68
0.320644,589.824,68
0.321612,558.644,68
0.322640,586.964,68
0.323604,550.553,68
0.324649,594.334,68
0.325606,551.794,68
0.326640,585.984,68
0.327605,551.273,68
0.328647,593.534,68
0.329605,551.844,68
0.331223,1169.658,68
0.331610,386.032,68
0.332602,548.234,68
0.333610,555.814,68
0.334644,590.724,68
0.335609,555.293,68
0.336650,596.714,68
0.337608,554.144,68
0.338646,590.344,68
0.339605,551.794,68
0.340659,604.444,68
0.341605,551.333,68
0.342641,587.914,68
0.343606,551.934,68
0.344644,589.654,68
0.345604,550.343,68
0.346642,588.514,68
