timestamp,rocm_smi:::temp_current:device=1:sensor=1,rocm_smi:::temp_current:device=1:sensor=2,rocm_smi:::mem_usage_VRAM:device=1,rocm_smi:::busy_percent:device=1,rocm_smi:::memory_busy_percent:device=1,power
0.000851,37000,36000,8712814592,1,0,136
0.557831,40000,37000,8712830976,92,2,435
1.131112,44000,38000,8712830976,99,4,441
1.671926,47000,39000,8712830976,99,4,399
2.216527,49000,39000,8712830976,99,4,447
2.757797,50000,40000,8712830976,99,4,454
3.332983,51000,40000,8712830976,99,5,451
3.879002,51000,40000,8712830976,99,5,462
4.436012,51000,40000,8712830976,96,5,444
4.978894,52000,40000,8712830976,99,5,441
5.520922,52000,40000,8712830976,98,4,118
6.082076,47000,38000,8712830976,0,0,91
6.631190,43000,37000,8712830976,0,0,90
7.180186,40000,37000,8712830976,0,0,90
7.726023,39000,37000,8712830976,0,0,90
8.268667,38000,37000,8712830976,0,0,90
