metric,source,api,iters,ok_count,min_us,avg_us,max_us,stddev_us,notes
amd_smi:::temp_current_sensor=1:device=0,PAPI,PAPI_read,500,500,23.660,24.648,67.490,3.557,
amd_smi:::temp_current_sensor=1:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,23.520,24.640,81.431,4.650,
amd_smi:::temp_current_sensor=2:device=0,PAPI,PAPI_read,500,500,23.641,24.489,69.401,3.857,
amd_smi:::temp_current_sensor=2:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,23.520,24.479,65.511,3.855,
amd_smi:::temp_current_sensor=7:device=0,PAPI,PAPI_read,500,500,262.122,349.806,1034.017,199.253,
amd_smi:::temp_current_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,260.692,336.276,1038.117,170.792,
amd_smi:::gfx_activity:device=0,PAPI,PAPI_read,500,500,262.302,335.818,1028.398,169.344,
amd_smi:::gfx_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,261.382,331.318,1028.908,159.247,
amd_smi:::umc_activity:device=0,PAPI,PAPI_read,500,500,262.062,341.256,1030.198,181.958,
amd_smi:::umc_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,260.172,327.330,1035.168,150.263,
amd_smi:::mm_activity:device=0,PAPI,PAPI_read,500,500,262.842,347.207,1017.228,192.893,
amd_smi:::mm_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,260.192,329.574,1040.688,155.403,
amd_smi:::mem_total_VRAM:device=0,PAPI,PAPI_read,500,500,52.760,53.839,150.151,4.749,
amd_smi:::mem_total_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_total,500,500,52.471,53.636,121.091,4.108,
amd_smi:::mem_usage_VRAM:device=0,PAPI,PAPI_read,500,500,79.411,81.263,220.911,7.197,
amd_smi:::mem_usage_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,500,500,79.081,80.780,123.021,4.294,
amd_smi:::mem_usage_GTT:device=0,PAPI,PAPI_read,500,500,21.451,22.030,60.430,2.654,
amd_smi:::mem_usage_GTT:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,500,500,21.310,22.081,152.121,6.164,
amd_smi:::power_average:device=0,PAPI,PAPI_read,500,500,321.102,513.762,1018.797,165.723,
amd_smi:::power_average:device=0,AMDSMI,amdsmi_get_power_info,500,500,319.492,504.625,1303.660,164.420,
amd_smi:::power_cap:device=0,PAPI,PAPI_read,500,500,146.701,250.200,441.533,102.429,
amd_smi:::power_cap:device=0,AMDSMI,amdsmi_get_power_cap_info,500,500,146.591,250.213,457.243,102.593,
amd_smi:::energy_consumed:device=0,PAPI,PAPI_read,500,500,262.752,363.228,1020.398,218.830,
amd_smi:::energy_consumed:device=0,AMDSMI,amdsmi_get_energy_count,500,500,261.552,329.641,1031.738,151.093,
amd_smi:::gpu_throttle_status:device=0,PAPI,PAPI_read,500,500,259.912,355.678,1031.518,203.586,
amd_smi:::gpu_throttle_status:device=0,AMDSMI,amdsmi_get_gpu_metrics_info,500,500,265.542,369.740,1023.297,227.528,
amd_smi:::clk_freq_sys_current:device=0,PAPI,PAPI_read,500,500,23.690,25.849,184.432,16.583,
amd_smi:::clk_freq_sys_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.490,25.915,184.321,16.810,
amd_smi:::clk_freq_gfx_current:device=0,PAPI,PAPI_read,500,500,23.660,26.125,179.341,17.136,
amd_smi:::clk_freq_gfx_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.490,25.710,185.822,16.162,
amd_smi:::clk_freq_mem_current:device=0,PAPI,PAPI_read,500,500,24.220,26.948,187.231,18.444,
amd_smi:::clk_freq_mem_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,24.110,26.739,193.421,18.353,
amd_smi:::clk_freq_soc_current:device=0,PAPI,PAPI_read,500,500,24.070,26.368,186.522,16.958,
amd_smi:::clk_freq_soc_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.840,26.224,190.971,17.594,
amd_smi:::clk_freq_df_current:device=0,PAPI,PAPI_read,500,500,24.220,26.994,194.692,18.921,
amd_smi:::clk_freq_df_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,24.210,26.782,187.851,18.387,
amd_smi:::clk_freq_sys_count:device=0,PAPI,PAPI_read,500,500,23.651,25.737,182.791,16.311,
amd_smi:::clk_freq_sys_count:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.480,26.082,194.361,18.005,
amd_smi:::pcie_bandwidth:device=0,PAPI,PAPI_read,500,500,302.552,372.844,1008.837,123.029,
amd_smi:::pcie_bandwidth:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,302.253,375.968,1051.878,138.496,
amd_smi:::pcie_replay_count:device=0,PAPI,PAPI_read,500,500,304.592,373.065,750.476,126.780,
amd_smi:::pcie_replay_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,303.142,376.259,1067.378,139.467,
amd_smi:::pcie_nak_sent_count:device=0,PAPI,PAPI_read,500,500,304.523,373.194,999.427,125.566,
amd_smi:::pcie_nak_sent_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,302.102,375.554,882.647,137.451,
amd_smi:::pcie_nak_received_count:device=0,PAPI,PAPI_read,500,500,305.392,373.181,992.377,126.970,
amd_smi:::pcie_nak_received_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,302.982,377.505,1075.238,144.374,
amd_smi:::xgmi_read_kb:device=0,PAPI,PAPI_read,500,500,1374.350,1499.621,1652.612,109.067,
amd_smi:::xgmi_read_kb:device=0,AMDSMI,amdsmi_get_link_metrics,500,500,1375.660,1499.998,1652.733,110.158,
amd_smi:::xgmi_write_kb:device=0,PAPI,PAPI_read,500,500,1381.201,1499.666,1631.262,104.688,
amd_smi:::xgmi_write_kb:device=0,AMDSMI,amdsmi_get_link_metrics,500,500,1376.321,1499.971,1752.463,109.046,
amd_smi:::ecc_total_correctable:device=0,PAPI,PAPI_read,500,500,734.926,999.895,1270.849,18.911,
amd_smi:::ecc_total_correctable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,754.266,1000.006,1242.979,27.518,
amd_smi:::ecc_total_uncorrectable:device=0,PAPI,PAPI_read,500,500,780.776,999.934,1213.769,20.754,
amd_smi:::ecc_total_uncorrectable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,766.436,999.960,1233.379,22.617,
amd_smi:::ecc_total_deferred:device=0,PAPI,PAPI_read,500,500,771.986,999.885,1221.189,21.179,
amd_smi:::ecc_total_deferred:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,782.086,1000.006,1216.739,21.614,
amd_smi:::temp_critical_sensor=7:device=0,PAPI,PAPI_read,500,500,263.372,351.385,1031.838,201.541,
amd_smi:::temp_critical_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,262.892,351.041,1033.808,201.797,
amd_smi:::temp_emergency_sensor=7:device=0,PAPI,PAPI_read,500,500,261.782,364.794,1021.868,223.956,
amd_smi:::temp_emergency_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,264.622,357.587,1028.917,211.561,
amd_smi:::temp_max_sensor=7:device=0,PAPI,PAPI_read,500,500,264.232,354.238,1029.128,207.640,
amd_smi:::temp_max_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,263.582,365.459,1031.628,225.158,
amd_smi:::perf_level:device=0,PAPI,PAPI_read,500,500,21.160,21.551,31.100,0.790,
amd_smi:::perf_level:device=0,AMDSMI,amdsmi_get_gpu_perf_level,500,500,21.040,21.699,62.490,2.954,
