metric,source,api,iters,ok_count,min_us,avg_us,max_us,stddev_us,notes
amd_smi:::temp_current_sensor=1:device=0,PAPI,PAPI_read,500,500,23.871,24.669,61.010,3.454,
amd_smi:::temp_current_sensor=1:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,23.770,24.599,94.341,4.782,
amd_smi:::temp_current_sensor=2:device=0,PAPI,PAPI_read,500,500,23.890,24.595,67.880,4.071,
amd_smi:::temp_current_sensor=2:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,23.730,24.581,67.311,4.267,
amd_smi:::temp_current_sensor=7:device=0,PAPI,PAPI_read,500,500,270.062,328.104,814.956,132.186,
amd_smi:::temp_current_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,269.522,329.448,809.547,135.292,
amd_smi:::gfx_activity:device=0,PAPI,PAPI_read,500,500,269.302,327.570,823.557,132.425,
amd_smi:::gfx_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,269.532,329.883,805.066,133.403,
amd_smi:::umc_activity:device=0,PAPI,PAPI_read,500,500,269.672,329.725,896.346,135.114,
amd_smi:::umc_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,268.952,327.485,813.866,130.034,
amd_smi:::mm_activity:device=0,PAPI,PAPI_read,500,500,269.682,328.889,809.937,133.219,
amd_smi:::mm_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,270.632,326.669,804.696,126.859,
amd_smi:::mem_total_VRAM:device=0,PAPI,PAPI_read,500,500,52.860,54.069,99.920,3.341,
amd_smi:::mem_total_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_total,500,500,52.810,54.107,157.841,5.345,
amd_smi:::mem_usage_VRAM:device=0,PAPI,PAPI_read,500,500,79.121,81.676,154.841,5.709,
amd_smi:::mem_usage_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,500,500,79.100,81.207,219.922,7.672,
amd_smi:::mem_usage_GTT:device=0,PAPI,PAPI_read,500,500,21.530,22.086,49.370,2.392,
amd_smi:::mem_usage_GTT:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,500,500,21.330,21.853,40.670,1.444,
amd_smi:::power_average:device=0,PAPI,PAPI_read,500,500,332.663,679.757,1366.471,276.695,
amd_smi:::power_average:device=0,AMDSMI,amdsmi_get_power_info,500,500,336.792,674.736,1365.071,267.297,
amd_smi:::power_cap:device=0,PAPI,PAPI_read,500,500,147.131,256.631,457.293,101.781,
amd_smi:::power_cap:device=0,AMDSMI,amdsmi_get_power_cap_info,500,500,147.432,255.228,517.054,101.202,
amd_smi:::energy_consumed:device=0,PAPI,PAPI_read,500,500,271.322,331.977,873.947,136.817,
amd_smi:::energy_consumed:device=0,AMDSMI,amdsmi_get_energy_count,500,500,267.532,326.171,813.697,128.807,
amd_smi:::gpu_throttle_status:device=0,PAPI,PAPI_read,500,500,270.032,329.388,972.997,134.867,
amd_smi:::gpu_throttle_status:device=0,AMDSMI,amdsmi_get_gpu_metrics_info,500,500,268.942,330.233,1017.898,140.864,
