metric,source,api,iters,ok_count,min_us,avg_us,max_us,stddev_us,notes
amd_smi:::temp_current_sensor=1:device=0,PAPI,PAPI_read,500,500,23.890,29.327,393.863,40.996,
amd_smi:::temp_current_sensor=1:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,23.630,29.086,388.483,42.110,
amd_smi:::temp_current_sensor=2:device=0,PAPI,PAPI_read,500,500,23.850,29.437,397.243,42.812,
amd_smi:::temp_current_sensor=2:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,23.661,29.180,399.424,42.229,
amd_smi:::temp_current_sensor=7:device=0,PAPI,PAPI_read,500,500,262.972,340.100,1026.317,179.541,
amd_smi:::temp_current_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,264.622,338.305,1035.187,175.983,
amd_smi:::gfx_activity:device=0,PAPI,PAPI_read,500,500,266.022,351.793,1021.088,202.483,
amd_smi:::gfx_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,265.832,347.356,1029.798,193.876,
amd_smi:::umc_activity:device=0,PAPI,PAPI_read,500,500,266.142,345.254,1031.008,189.587,
amd_smi:::umc_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,500,500,265.742,355.296,1034.578,209.202,
amd_smi:::util_counter_gfx:device=0,PAPI,PAPI_read,500,500,264.533,345.936,1029.528,191.708,
amd_smi:::util_counter_gfx:device=0,AMDSMI,amdsmi_get_utilization_count,500,500,265.972,347.048,1035.528,194.931,
amd_smi:::mem_total_VRAM:device=0,PAPI,PAPI_read,500,500,53.180,54.593,66.401,1.898,
amd_smi:::mem_total_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_total,500,500,53.030,54.393,187.421,7.060,
amd_smi:::mem_usage_VRAM:device=0,PAPI,PAPI_read,500,500,79.551,82.075,211.172,7.739,
amd_smi:::mem_usage_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,500,500,79.610,82.035,223.561,9.094,
amd_smi:::mem_usage_GTT:device=0,PAPI,PAPI_read,500,500,21.680,22.262,80.571,2.922,
amd_smi:::mem_usage_GTT:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,500,500,21.470,22.138,43.401,2.033,
amd_smi:::power_current:device=0,PAPI,PAPI_read,500,500,323.752,616.498,1367.660,262.808,
amd_smi:::power_current:device=0,AMDSMI,amdsmi_get_power_info,500,500,323.123,587.366,1370.341,245.621,
amd_smi:::power_cap:device=0,PAPI,PAPI_read,500,500,147.331,285.598,697.585,186.845,
amd_smi:::power_cap:device=0,AMDSMI,amdsmi_get_power_cap_info,500,500,147.201,285.968,765.495,188.653,
amd_smi:::energy_consumed:device=0,PAPI,PAPI_read,500,500,262.572,330.366,1039.568,153.895,
amd_smi:::energy_consumed:device=0,AMDSMI,amdsmi_get_energy_count,500,500,260.442,327.869,1052.969,151.239,
amd_smi:::gpu_throttle_status:device=0,PAPI,PAPI_read,500,500,264.212,319.190,1040.188,127.542,
amd_smi:::gpu_throttle_status:device=0,AMDSMI,amdsmi_get_gpu_metrics_info,500,500,260.813,317.938,1041.038,119.176,
amd_smi:::clk_freq_sys_current:device=0,PAPI,PAPI_read,500,500,23.760,31.762,537.044,59.959,
amd_smi:::clk_freq_sys_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.741,30.874,535.334,55.388,
amd_smi:::clk_freq_gfx_current:device=0,PAPI,PAPI_read,500,500,23.791,31.697,526.234,57.642,
amd_smi:::clk_freq_gfx_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.630,31.548,532.854,59.053,
amd_smi:::clk_freq_mem_current:device=0,PAPI,PAPI_read,500,500,24.510,32.606,543.994,59.720,
amd_smi:::clk_freq_mem_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,24.370,30.884,544.894,51.869,
amd_smi:::clk_freq_soc_current:device=0,PAPI,PAPI_read,500,500,24.210,31.349,544.545,55.723,
amd_smi:::clk_freq_soc_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,24.060,30.619,541.474,50.837,
amd_smi:::clk_freq_df_current:device=0,PAPI,PAPI_read,500,500,24.490,32.292,528.504,58.421,
amd_smi:::clk_freq_df_current:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,24.340,31.473,537.944,55.357,
amd_smi:::clk_freq_sys_count:device=0,PAPI,PAPI_read,500,500,23.810,29.952,539.504,51.203,
amd_smi:::clk_freq_sys_count:device=0,AMDSMI,amdsmi_get_clk_freq,500,500,23.680,27.886,551.944,36.326,
amd_smi:::pcie_bandwidth:device=0,PAPI,PAPI_read,500,500,306.332,374.956,1024.348,138.937,
amd_smi:::pcie_bandwidth:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,302.252,376.394,1006.508,145.990,
amd_smi:::pcie_replay_count:device=0,PAPI,PAPI_read,500,500,306.302,375.473,893.127,139.159,
amd_smi:::pcie_replay_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,301.332,375.616,900.257,143.764,
amd_smi:::pcie_nak_sent_count:device=0,PAPI,PAPI_read,500,500,304.963,374.476,750.876,136.958,
amd_smi:::pcie_nak_sent_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,303.092,374.697,755.596,142.175,
amd_smi:::pcie_nak_received_count:device=0,PAPI,PAPI_read,500,500,304.813,374.740,872.367,137.780,
amd_smi:::pcie_nak_received_count:device=0,AMDSMI,amdsmi_get_pcie_info,500,500,301.592,374.588,758.146,142.020,
amd_smi:::xgmi_read_kb:device=0,PAPI,PAPI_read,500,500,1373.700,1587.638,2048.106,217.920,
amd_smi:::xgmi_read_kb:device=0,AMDSMI,amdsmi_get_link_metrics,500,500,1377.240,1556.775,2018.245,185.970,
amd_smi:::xgmi_write_kb:device=0,PAPI,PAPI_read,500,500,1380.250,1557.674,2010.515,185.042,
amd_smi:::xgmi_write_kb:device=0,AMDSMI,amdsmi_get_link_metrics,500,500,1379.770,1556.765,2006.865,186.339,
amd_smi:::ecc_total_correctable:device=0,PAPI,PAPI_read,500,500,974.148,999.925,1025.878,6.734,
amd_smi:::ecc_total_correctable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,913.077,999.998,1073.108,9.801,
amd_smi:::ecc_total_uncorrectable:device=0,PAPI,PAPI_read,500,500,946.557,999.936,1047.748,8.391,
amd_smi:::ecc_total_uncorrectable:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,951.197,999.988,1030.137,8.504,
amd_smi:::ecc_total_deferred:device=0,PAPI,PAPI_read,500,500,950.887,999.939,1043.668,8.787,
amd_smi:::ecc_total_deferred:device=0,AMDSMI,amdsmi_get_gpu_total_ecc_count,500,500,787.446,1000.044,1214.320,15.686,
amd_smi:::temp_critical_sensor=7:device=0,PAPI,PAPI_read,500,500,260.482,320.531,861.157,132.758,
amd_smi:::temp_critical_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,260.202,308.526,880.826,99.204,
amd_smi:::temp_emergency_sensor=7:device=0,PAPI,PAPI_read,500,500,262.602,309.317,871.276,100.441,
amd_smi:::temp_emergency_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,259.412,326.229,890.767,143.579,
amd_smi:::temp_max_sensor=7:device=0,PAPI,PAPI_read,500,500,262.952,318.524,869.337,126.052,
amd_smi:::temp_max_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,500,500,258.192,316.081,869.417,120.592,
amd_smi:::perf_level:device=0,PAPI,PAPI_read,500,500,20.820,21.385,36.221,1.316,
amd_smi:::perf_level:device=0,AMDSMI,amdsmi_get_gpu_perf_level,500,500,20.710,21.294,52.331,2.424,
