metric,source,api,iters,ok_count,min_us,avg_us,max_us,stddev_us,notes
amd_smi:::temp_current_sensor=1:device=0,PAPI,PAPI_read,100,100,23.770,26.352,188.921,17.138,
amd_smi:::temp_current_sensor=1:device=0,AMDSMI,amdsmi_get_temp_metric,100,100,23.680,25.956,201.312,17.662,
amd_smi:::temp_current_sensor=2:device=0,PAPI,PAPI_read,100,100,23.770,27.650,202.571,24.488,
amd_smi:::temp_current_sensor=2:device=0,AMDSMI,amdsmi_get_temp_metric,100,100,23.620,25.911,204.582,18.020,
amd_smi:::temp_current_sensor=7:device=0,PAPI,PAPI_read,100,100,265.362,344.840,1021.478,154.413,
amd_smi:::temp_current_sensor=7:device=0,AMDSMI,amdsmi_get_temp_metric,100,100,265.142,341.821,1072.108,156.202,
amd_smi:::gfx_activity:device=0,PAPI,PAPI_read,100,100,268.302,339.483,993.407,140.812,
amd_smi:::gfx_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,100,100,265.092,339.953,996.537,144.467,
amd_smi:::umc_activity:device=0,PAPI,PAPI_read,100,100,265.652,339.351,992.608,143.467,
amd_smi:::umc_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,100,100,264.922,337.600,997.218,134.470,
amd_smi:::mm_activity:device=0,PAPI,PAPI_read,100,100,268.732,339.397,981.827,138.242,
amd_smi:::mm_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,100,100,267.212,339.357,991.287,142.937,
amd_smi:::mem_total_VRAM:device=0,PAPI,PAPI_read,100,100,52.741,53.494,63.250,1.594,
amd_smi:::mem_total_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_total,100,100,52.571,53.479,62.270,1.522,
amd_smi:::mem_usage_VRAM:device=0,PAPI,PAPI_read,100,100,79.160,80.314,86.551,1.476,
amd_smi:::mem_usage_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,100,100,79.080,81.691,161.261,9.126,
amd_smi:::mem_usage_GTT:device=0,PAPI,PAPI_read,100,100,21.630,22.752,56.481,4.356,
amd_smi:::mem_usage_GTT:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,100,100,21.470,22.035,31.171,1.383,
amd_smi:::power_average:device=0,PAPI,PAPI_read,100,100,329.152,499.713,673.445,112.818,
amd_smi:::power_average:device=0,AMDSMI,amdsmi_get_power_info,100,100,327.832,499.983,680.605,130.208,
amd_smi:::power_cap:device=0,PAPI,PAPI_read,100,100,149.541,249.893,393.793,101.472,
amd_smi:::power_cap:device=0,AMDSMI,amdsmi_get_power_cap_info,100,100,149.591,250.199,393.993,101.683,
amd_smi:::energy_consumed:device=0,PAPI,PAPI_read,100,100,266.552,337.773,867.706,125.906,
amd_smi:::energy_consumed:device=0,AMDSMI,amdsmi_get_energy_count,100,100,266.632,343.905,999.967,158.407,
amd_smi:::gpu_throttle_status:device=0,PAPI,PAPI_read,100,100,264.062,334.903,995.218,131.610,
amd_smi:::gpu_throttle_status:device=0,AMDSMI,amdsmi_get_gpu_metrics_info,100,100,264.402,339.734,1015.937,148.217,
amd_smi:::clk_freq_sys_current:device=0,PAPI,PAPI_read,100,100,23.860,26.415,237.272,21.238,
amd_smi:::clk_freq_sys_current:device=0,AMDSMI,amdsmi_get_clk_freq,100,100,23.670,28.039,223.521,27.932,
amd_smi:::clk_freq_gfx_current:device=0,PAPI,PAPI_read,100,100,23.780,26.138,214.252,18.930,
amd_smi:::clk_freq_gfx_current:device=0,AMDSMI,amdsmi_get_clk_freq,100,100,23.680,26.275,226.322,20.199,
amd_smi:::clk_freq_mem_current:device=0,PAPI,PAPI_read,100,100,24.571,26.992,235.862,21.005,
amd_smi:::clk_freq_mem_current:device=0,AMDSMI,amdsmi_get_clk_freq,100,100,24.481,26.635,200.122,17.468,
amd_smi:::clk_freq_soc_current:device=0,PAPI,PAPI_read,100,100,24.240,28.855,229.171,28.393,
