metric,source,api,iters,ok_count,min_us,avg_us,max_us,notes
amd_smi:::temp_current:device=0:sensor=0,PAPI,PAPI_read,100,100,26.779,27.61,55.57,
amd_smi:::temp_current:device=0:sensor=0,AMDSMI,amdsmi_get_temp_metric,100,100,26.54,27.163,55.25,
amd_smi:::temp_critical:device=0:sensor=0,PAPI,PAPI_read,100,100,26.43,26.698,30.22,
amd_smi:::temp_critical:device=0:sensor=0,AMDSMI,amdsmi_get_temp_metric,100,100,26.21,26.646,32.959,
amd_smi:::temp_critical_hyst:device=0:sensor=0,PAPI,PAPI_read,100,100,26.44,26.848,42.36,
amd_smi:::temp_critical_hyst:device=0:sensor=0,AMDSMI,amdsmi_get_temp_metric,100,100,26.29,26.659,32.96,
amd_smi:::temp_emergency:device=0:sensor=0,PAPI,PAPI_read,100,100,26.5,27.35,71.689,
amd_smi:::temp_emergency:device=0:sensor=0,AMDSMI,amdsmi_get_temp_metric,100,100,26.28,26.732,46.409,
amd_smi:::temp_current:device=0:sensor=1,PAPI,PAPI_read,100,100,26.64,27.476,65.879,
amd_smi:::temp_current:device=0:sensor=1,AMDSMI,amdsmi_get_temp_metric,100,100,26.48,28.068,76.22,
amd_smi:::temp_critical:device=0:sensor=1,PAPI,PAPI_read,100,100,26.51,27.095,38.52,
amd_smi:::temp_critical:device=0:sensor=1,AMDSMI,amdsmi_get_temp_metric,100,100,26.38,26.897,37.719,
amd_smi:::temp_critical_hyst:device=0:sensor=1,PAPI,PAPI_read,100,100,26.47,26.936,34.579,
amd_smi:::temp_critical_hyst:device=0:sensor=1,AMDSMI,amdsmi_get_temp_metric,100,100,26.35,26.736,33.37,
amd_smi:::temp_emergency:device=0:sensor=1,PAPI,PAPI_read,100,100,26.41,26.982,42.16,
amd_smi:::temp_emergency:device=0:sensor=1,AMDSMI,amdsmi_get_temp_metric,100,100,26.27,26.737,34.04,
amd_smi:::temp_current:device=0:sensor=2,PAPI,PAPI_read,100,100,26.77,28.263,90.289,
amd_smi:::temp_current:device=0:sensor=2,AMDSMI,amdsmi_get_temp_metric,100,100,26.559,27.341,57.63,
amd_smi:::temp_critical:device=0:sensor=2,PAPI,PAPI_read,100,100,26.45,26.85,34.26,
amd_smi:::temp_critical:device=0:sensor=2,AMDSMI,amdsmi_get_temp_metric,100,100,26.29,26.656,35.08,
amd_smi:::temp_critical_hyst:device=0:sensor=2,PAPI,PAPI_read,100,100,26.479,26.9,48.2,
amd_smi:::temp_critical_hyst:device=0:sensor=2,AMDSMI,amdsmi_get_temp_metric,100,100,26.339,26.629,31.77,
amd_smi:::temp_emergency:device=0:sensor=2,PAPI,PAPI_read,100,100,26.46,27.255,46.92,
amd_smi:::temp_emergency:device=0:sensor=2,AMDSMI,amdsmi_get_temp_metric,100,100,26.34,27.123,61.779,
amd_smi:::temp_current:device=0:sensor=3,PAPI,PAPI_read,100,100,229.137,249.487,297.787,
amd_smi:::temp_current:device=0:sensor=3,AMDSMI,amdsmi_get_temp_metric,100,100,229.028,249.997,307.507,
amd_smi:::temp_current:device=0:sensor=4,PAPI,PAPI_read,100,100,229.598,249.823,302.217,
amd_smi:::temp_current:device=0:sensor=4,AMDSMI,amdsmi_get_temp_metric,100,100,229.707,249.967,302.017,
amd_smi:::temp_current:device=0:sensor=5,PAPI,PAPI_read,100,100,229.067,249.641,301.287,
amd_smi:::temp_current:device=0:sensor=5,AMDSMI,amdsmi_get_temp_metric,100,100,229.547,249.842,304.347,
amd_smi:::temp_current:device=0:sensor=6,PAPI,PAPI_read,100,100,228.358,249.813,302.587,
amd_smi:::temp_current:device=0:sensor=6,AMDSMI,amdsmi_get_temp_metric,100,100,228.438,250.001,303.417,
amd_smi:::temp_current:device=0:sensor=7,PAPI,PAPI_read,100,100,229.167,249.756,304.387,
amd_smi:::temp_current:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,228.167,249.949,303.917,
amd_smi:::temp_max:device=0:sensor=7,PAPI,PAPI_read,100,100,229.647,249.554,301.717,
amd_smi:::temp_max:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,227.698,249.931,310.867,
amd_smi:::temp_min:device=0:sensor=7,PAPI,PAPI_read,100,100,229.028,249.87,301.577,
amd_smi:::temp_min:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,227.097,250.009,306.217,
amd_smi:::temp_max_hyst:device=0:sensor=7,PAPI,PAPI_read,100,100,229.208,249.784,305.127,
amd_smi:::temp_max_hyst:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,228.948,249.892,307.707,
amd_smi:::temp_min_hyst:device=0:sensor=7,PAPI,PAPI_read,100,100,228.827,249.776,303.057,
amd_smi:::temp_min_hyst:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,228.028,249.983,302.747,
amd_smi:::temp_critical:device=0:sensor=7,PAPI,PAPI_read,100,100,229.728,252.017,421.345,
amd_smi:::temp_critical:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,227.308,250.008,327.197,
amd_smi:::temp_critical_hyst:device=0:sensor=7,PAPI,PAPI_read,100,100,228.748,249.781,298.327,
amd_smi:::temp_critical_hyst:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,226.728,249.848,303.637,
amd_smi:::temp_emergency:device=0:sensor=7,PAPI,PAPI_read,100,100,229.418,252.102,413.976,
amd_smi:::temp_emergency:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,227.308,249.892,307.247,
amd_smi:::temp_emergency_hyst:device=0:sensor=7,PAPI,PAPI_read,100,100,229.547,249.856,305.227,
amd_smi:::temp_emergency_hyst:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,226.878,250.131,306.927,
amd_smi:::temp_crit_min:device=0:sensor=7,PAPI,PAPI_read,100,100,229.688,254.533,426.136,
amd_smi:::temp_crit_min:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,228.648,249.929,310.007,
amd_smi:::temp_crit_min_hyst:device=0:sensor=7,PAPI,PAPI_read,100,100,227.848,249.631,305.957,
amd_smi:::temp_crit_min_hyst:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,227.108,249.709,312.137,
amd_smi:::temp_offset:device=0:sensor=7,PAPI,PAPI_read,100,100,228.897,249.779,306.627,
amd_smi:::temp_offset:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,227.828,249.962,313.077,
amd_smi:::temp_lowest:device=0:sensor=7,PAPI,PAPI_read,100,100,228.078,252.216,390.056,
amd_smi:::temp_lowest:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,225.848,250.005,312.247,
amd_smi:::temp_highest:device=0:sensor=7,PAPI,PAPI_read,100,100,228.657,249.558,304.847,
amd_smi:::temp_highest:device=0:sensor=7,AMDSMI,amdsmi_get_temp_metric,100,100,228.358,249.713,314.847,
amd_smi:::mem_total_VRAM:device=0,PAPI,PAPI_read,100,100,24.67,25.106,44.289,
amd_smi:::mem_total_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_total,100,100,24.489,24.802,29.8,
amd_smi:::mem_usage_VRAM:device=0,PAPI,PAPI_read,100,100,24.679,24.943,28.47,
amd_smi:::mem_usage_VRAM:device=0,AMDSMI,amdsmi_get_gpu_memory_usage,100,100,24.489,24.812,31.569,
amd_smi:::power_average:device=0,PAPI,PAPI_read,100,100,316.377,336.613,508.625,
amd_smi:::power_average:device=0,AMDSMI,amdsmi_get_power_info,100,100,315.187,333.249,362.386,
amd_smi:::power_cap_range_min:device=0,PAPI,PAPI_read,100,100,196.728,247.333,389.277,
amd_smi:::power_cap_range_min:device=0,AMDSMI,amdsmi_get_power_cap_info,100,100,196.069,244.992,392.936,
amd_smi:::power_cap_range_max:device=0,PAPI,PAPI_read,100,100,196.498,245.663,391.057,
amd_smi:::power_cap_range_max:device=0,AMDSMI,amdsmi_get_power_cap_info,100,100,196.128,243.738,386.696,
amd_smi:::pci_replay_counter:device=0,PAPI,PAPI_read,100,100,28.03,33.903,82.439,
amd_smi:::pci_replay_counter:device=0,AMDSMI,amdsmi_get_gpu_pci_replay_counter,100,100,27.81,28.119,32.599,
amd_smi:::gfx_activity:device=0,PAPI,PAPI_read,100,100,228.987,251.971,416.196,
amd_smi:::gfx_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,100,100,227.317,249.984,305.977,
amd_smi:::umc_activity:device=0,PAPI,PAPI_read,100,100,229.708,249.851,306.377,
amd_smi:::umc_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,100,100,227.038,249.951,308.897,
amd_smi:::mm_activity:device=0,PAPI,PAPI_read,100,100,229.698,249.588,302.747,
amd_smi:::mm_activity:device=0,AMDSMI,amdsmi_get_gpu_activity,100,100,227.598,252.175,455.255,
amd_smi:::clk_freq_count:device=0,PAPI,PAPI_read,100,100,48.489,61.792,265.067,
amd_smi:::clk_freq_count:device=0,AMDSMI,amdsmi_get_clk_freq,100,100,48.439,61.366,260.808,
amd_smi:::clk_freq_current:device=0,PAPI,PAPI_read,100,100,48.18,60.449,213.318,
amd_smi:::clk_freq_current:device=0,AMDSMI,amdsmi_get_clk_freq,100,100,48.42,60.931,250.948,
amd_smi:::clk_freq_level_0:device=0,PAPI,PAPI_read,100,100,48.499,61.593,266.988,
amd_smi:::clk_freq_level_0:device=0,AMDSMI,amdsmi_get_clk_freq,100,100,48.499,61.664,266.787,
amd_smi:::clk_freq_level_1:device=0,PAPI,PAPI_read,100,100,48.55,62.08,296.287,
amd_smi:::clk_freq_level_1:device=0,AMDSMI,amdsmi_get_clk_freq,100,100,48.559,61.723,253.107,
amd_smi:::gpu_id:device=0,PAPI,PAPI_read,100,100,24.03,24.46,32.149,
amd_smi:::gpu_id:device=0,AMDSMI,amdsmi_get_gpu_id,100,100,23.769,24.181,31.89,
amd_smi:::gpu_revision:device=0,PAPI,PAPI_read,100,100,24.05,24.841,47.37,
amd_smi:::gpu_revision:device=0,AMDSMI,amdsmi_get_gpu_revision,100,100,23.9,24.512,40.59,
amd_smi:::gpu_subsystem_id:device=0,PAPI,PAPI_read,100,100,23.989,24.388,29.639,
amd_smi:::gpu_subsystem_id:device=0,AMDSMI,amdsmi_get_gpu_subsystem_id,100,100,23.83,24.426,28.499,
amd_smi:::numa_node:device=0,PAPI,PAPI_read,100,100,23.39,23.929,28.94,
amd_smi:::numa_node:device=0,AMDSMI,amdsmi_get_gpu_topo_numa_affinity,100,100,23.22,23.948,57.829,
amd_smi:::energy_consumed:device=0,PAPI,PAPI_read,100,100,230.928,249.722,317.287,
amd_smi:::energy_consumed:device=0,AMDSMI,amdsmi_get_energy_count,100,100,228.528,249.808,306.247,
